,Value
Ex-Dividend Date,1995-04-26
Earnings Date,"[datetime.date(2026, 2, 3)]"
Earnings High,1.30679
Earnings Low,1.03
Earnings Average,1.23146
Revenue High,9985697200
Revenue Low,9527000000
Revenue Average,9823093320
