<<<<<<< HEAD
Ticker,Company Name,Fiscal Quarter,Datetime,Date,Time,Hour,Close,Earnings Date,Earnings Timing,Base Price,Hours From Earnings,Trading Day,Return From Earnings (%)
AAP,"Advance Auto Parts, Inc.",Q3 FY26,2026-02-13 09:30:00,2026-02-13,09:30,9,58.59,2026-02-13,BMO,58.22,18.0,1,0.64
AAP,"Advance Auto Parts, Inc.",Q3 FY26,2026-02-13 10:30:00,2026-02-13,10:30,10,57.99,2026-02-13,BMO,58.22,19.0,1,-0.4
AAP,"Advance Auto Parts, Inc.",Q3 FY26,2026-02-13 11:30:00,2026-02-13,11:30,11,60.15,2026-02-13,BMO,58.22,20.0,1,3.31
AAP,"Advance Auto Parts, Inc.",Q3 FY26,2026-02-13 12:30:00,2026-02-13,12:30,12,60.17,2026-02-13,BMO,58.22,21.0,1,3.35
AAP,"Advance Auto Parts, Inc.",Q3 FY26,2026-02-13 13:30:00,2026-02-13,13:30,13,59.31,2026-02-13,BMO,58.22,22.0,1,1.87
AAP,"Advance Auto Parts, Inc.",Q3 FY26,2026-02-13 14:30:00,2026-02-13,14:30,14,58.7,2026-02-13,BMO,58.22,23.0,1,0.82
AAP,"Advance Auto Parts, Inc.",Q3 FY26,2026-02-13 15:30:00,2026-02-13,15:30,15,58.86,2026-02-13,BMO,58.22,24.0,1,1.1
AB,AllianceBernstein Holding L.P.,Q4 FY25,2026-02-05 09:30:00,2026-02-05,09:30,9,42.2,2026-02-05,BMO,42.47,18.0,1,-0.64
AB,AllianceBernstein Holding L.P.,Q4 FY25,2026-02-05 10:30:00,2026-02-05,10:30,10,43.57,2026-02-05,BMO,42.47,19.0,1,2.59
AB,AllianceBernstein Holding L.P.,Q4 FY25,2026-02-05 11:30:00,2026-02-05,11:30,11,43.36,2026-02-05,BMO,42.47,20.0,1,2.1
AB,AllianceBernstein Holding L.P.,Q4 FY25,2026-02-05 12:30:00,2026-02-05,12:30,12,43.2,2026-02-05,BMO,42.47,21.0,1,1.71
AB,AllianceBernstein Holding L.P.,Q4 FY25,2026-02-05 13:30:00,2026-02-05,13:30,13,43.25,2026-02-05,BMO,42.47,22.0,1,1.84
AB,AllianceBernstein Holding L.P.,Q4 FY25,2026-02-05 14:30:00,2026-02-05,14:30,14,42.28,2026-02-05,BMO,42.47,23.0,1,-0.45
AB,AllianceBernstein Holding L.P.,Q4 FY25,2026-02-05 15:30:00,2026-02-05,15:30,15,42.14,2026-02-05,BMO,42.47,24.0,1,-0.78
